tenure_months,monthly_spend,support_tickets_90d,logins_per_month,on_discount,monthly_contract,churned
25.0,87.44,1,7.0,0,1,0
34.0,58.48,2,8.0,0,0,0
22.0,47.45,1,4.0,1,1,0
20.0,51.46,1,33.0,0,0,0
37.0,13.48,0,9.0,1,0,0
21.0,24.8,2,12.0,0,0,0
28.0,5.0,1,23.0,0,1,0
26.0,76.14,2,32.0,0,0,0
37.0,72.49,0,9.0,0,1,0
17.0,52.07,1,11.0,1,0,0
46.0,47.43,1,10.0,0,1,0
14.0,17.07,0,6.0,1,1,0
29.0,41.05,0,6.0,0,0,0
27.0,77.26,0,8.0,0,0,0
13.0,47.37,1,15.0,0,1,0
31.0,34.84,2,8.0,1,0,0
18.0,13.35,1,2.0,1,1,0
10.0,69.85,0,11.0,0,1,0
34.0,43.74,0,6.0,0,1,0
7.0,13.38,0,5.0,1,1,0
11.0,28.36,0,14.0,0,1,0
22.0,22.0,1,14.0,0,0,0
37.0,42.63,0,10.0,1,0,0
32.0,48.73,1,7.0,0,1,0
25.0,35.94,1,7.0,1,0,0
5.0,58.99,2,3.0,0,1,0
14.0,46.42,2,1.0,0,0,0
16.0,64.12,2,7.0,0,0,0
9.0,38.57,1,7.0,0,0,0
4.0,99.82,2,5.0,1,0,0
23.0,34.84,1,19.0,0,0,0
33.0,28.74,3,6.0,1,1,0
15.0,26.53,1,10.0,0,0,0
36.0,41.2,2,11.0,1,0,0
6.0,14.05,0,12.0,1,1,0
9.0,50.3,0,6.0,0,1,0
22.0,10.7,2,7.0,0,1,0
14.0,47.91,1,9.0,0,1,1
31.0,20.68,1,6.0,0,0,0
28.0,38.14,0,18.0,1,1,0
15.0,55.88,2,31.0,1,1,0
7.0,86.47,2,11.0,0,1,1
14.0,25.6,2,11.0,0,0,0
28.0,42.29,2,17.0,0,0,0
32.0,31.97,1,15.0,1,0,0
14.0,29.34,2,9.0,0,1,1
4.0,32.13,1,24.0,0,0,0
6.0,59.83,2,6.0,0,1,1
27.0,36.21,1,14.0,1,1,0
15.0,85.49,3,7.0,0,1,1
15.0,52.49,2,12.0,0,1,0
9.0,26.82,2,7.0,0,1,0
9.0,38.4,0,23.0,1,0,0
36.0,30.57,1,17.0,1,1,0
28.0,59.4,3,11.0,1,0,1
12.0,15.5,3,15.0,1,1,0
21.0,20.86,0,5.0,0,1,0
24.0,34.35,0,3.0,0,0,0
56.0,57.29,1,6.0,1,0,0
8.0,67.2,2,23.0,0,0,0
24.0,69.85,1,7.0,0,1,1
36.0,54.54,1,15.0,0,1,0
52.0,43.51,0,8.0,1,0,0
12.0,59.3,0,8.0,0,1,0
15.0,24.4,1,7.0,0,0,1
32.0,11.8,2,6.0,0,1,1
5.0,52.86,0,15.0,0,1,1
25.0,26.9,0,7.0,0,0,0
70.0,43.82,2,6.0,0,0,0
27.0,47.15,1,9.0,1,0,0
2.0,49.47,1,7.0,1,0,0
10.0,61.88,0,5.0,0,1,0
12.0,59.98,1,14.0,0,0,0
41.0,48.51,1,10.0,1,1,0
18.0,37.04,0,6.0,0,0,0
4.0,46.94,1,5.0,0,0,0
19.0,34.27,1,17.0,0,0,0
22.0,41.46,0,4.0,0,1,0
13.0,92.13,1,13.0,0,1,0
8.0,48.28,1,2.0,0,0,0
72.0,53.1,1,10.0,0,0,0
36.0,32.3,0,10.0,0,1,0
38.0,63.36,3,3.0,0,1,0
18.0,58.68,0,3.0,0,0,0
11.0,58.81,1,10.0,0,0,0
14.0,48.87,1,3.0,0,0,0
6.0,63.62,1,19.0,0,0,0
56.0,67.89,1,6.0,0,0,0
18.0,50.1,2,21.0,0,0,0
48.0,42.94,2,19.0,0,0,0
14.0,61.1,4,8.0,0,1,1
27.0,28.73,1,10.0,0,1,0
23.0,32.08,0,17.0,0,1,1
5.0,44.04,1,4.0,0,0,0
60.0,13.66,0,7.0,0,1,0
15.0,59.9,1,21.0,0,0,0
7.0,27.67,2,15.0,0,1,1
32.0,36.51,0,8.0,0,0,0
20.0,41.16,3,10.0,1,1,0
26.0,45.71,0,6.0,0,1,0
21.0,38.81,1,7.0,0,1,0
2.0,43.79,4,13.0,0,0,1
10.0,43.93,2,7.0,0,1,0
9.0,36.95,3,14.0,1,1,1
38.0,31.08,1,3.0,0,0,0
20.0,64.47,0,12.0,0,0,0
29.0,7.12,2,4.0,0,0,0
15.0,41.3,0,8.0,1,0,0
30.0,36.56,1,5.0,1,0,0
18.0,52.54,3,12.0,1,1,0
17.0,18.82,0,4.0,0,1,0
23.0,36.0,1,14.0,0,1,0
21.0,43.16,0,9.0,1,1,0
72.0,64.26,1,8.0,0,0,0
9.0,50.98,0,6.0,0,0,0
5.0,23.7,1,7.0,1,0,0
25.0,36.23,0,18.0,0,1,0
11.0,60.95,3,6.0,1,0,0
2.0,23.39,1,18.0,1,1,0
8.0,43.58,1,22.0,1,1,0
72.0,44.84,2,8.0,0,1,0
9.0,38.06,2,3.0,0,0,1
3.0,93.52,2,16.0,0,0,0
72.0,37.57,0,16.0,1,0,0
7.0,53.1,2,19.0,1,0,0
72.0,31.21,2,8.0,1,0,0
15.0,54.5,0,11.0,1,1,0
61.0,60.67,2,7.0,0,0,1
16.0,34.42,1,6.0,1,1,0
28.0,44.02,3,11.0,0,1,1
18.0,28.88,1,17.0,1,1,0
17.0,24.4,3,14.0,1,1,1
24.0,63.66,0,9.0,0,0,0
28.0,35.03,3,17.0,0,1,0
23.0,5.0,1,4.0,0,1,0
21.0,76.78,1,33.0,1,1,0
11.0,30.56,2,4.0,0,0,1
19.0,40.57,0,9.0,0,1,1
56.0,74.54,0,10.0,0,0,0
10.0,42.45,2,11.0,0,1,1
24.0,42.06,1,16.0,1,1,0
45.0,22.89,2,5.0,0,1,0
28.0,15.57,1,11.0,0,0,0
38.0,42.01,0,14.0,1,1,0
7.0,51.53,0,18.0,0,1,0
24.0,50.5,1,7.0,0,1,0
16.0,36.34,0,10.0,0,1,0
16.0,45.36,2,9.0,1,1,0
53.0,11.93,1,13.0,1,1,0
17.0,53.28,0,13.0,0,0,0
25.0,47.91,2,7.0,0,0,0
3.0,80.53,1,9.0,0,1,0
60.0,45.13,1,9.0,0,1,0
37.0,28.03,2,4.0,0,1,0
19.0,44.09,2,12.0,0,0,0
15.0,39.1,0,11.0,0,0,0
30.0,52.82,1,4.0,1,1,0
44.0,45.48,0,12.0,0,0,0
61.0,22.32,1,36.0,0,1,0
36.0,15.56,2,5.0,1,1,0
21.0,49.73,4,4.0,0,0,0
40.0,69.9,1,14.0,1,1,0
35.0,46.43,0,7.0,0,1,0
21.0,59.64,1,16.0,1,0,0
34.0,63.23,3,9.0,0,0,1
34.0,49.8,4,6.0,1,1,1
19.0,30.34,0,8.0,1,0,0
13.0,48.52,0,13.0,0,0,1
32.0,66.73,2,13.0,0,0,0
8.0,54.54,1,3.0,1,1,1
6.0,58.47,2,13.0,0,1,1
25.0,36.67,0,9.0,0,0,0
31.0,41.36,2,10.0,0,0,0
25.0,42.86,2,12.0,0,1,0
27.0,44.08,1,4.0,0,0,0
31.0,66.02,2,3.0,0,1,0
53.0,5.0,1,3.0,0,0,0
36.0,45.55,2,16.0,0,0,0
35.0,43.57,1,16.0,0,0,0
24.0,20.31,4,1.0,1,0,0
24.0,57.09,1,9.0,0,0,0
18.0,31.96,2,6.0,0,1,0
27.0,38.57,0,5.0,0,1,1
8.0,78.28,3,18.0,1,1,1
53.0,63.18,3,20.0,0,0,0
10.0,55.34,1,10.0,0,0,0
36.0,51.85,2,6.0,0,1,0
48.0,42.04,3,7.0,0,1,0
36.0,80.99,0,4.0,1,0,0
72.0,59.44,1,7.0,0,0,0
2.0,31.51,2,5.0,1,1,0
14.0,19.8,1,19.0,0,0,0
48.0,55.2,5,2.0,0,1,1
6.0,43.99,1,15.0,0,1,0
10.0,19.28,1,5.0,0,1,0
29.0,52.71,4,13.0,1,1,1
21.0,40.16,1,8.0,0,1,1
28.0,54.55,1,15.0,0,0,0
22.0,52.95,1,3.0,0,1,0
24.0,34.05,2,6.0,1,1,0
11.0,56.39,0,7.0,1,1,1
23.0,36.04,0,9.0,0,1,0
14.0,37.21,1,9.0,0,0,1
16.0,35.42,1,4.0,0,0,0
36.0,65.36,2,3.0,0,0,0
6.0,39.95,1,8.0,0,1,0
1.0,69.7,1,9.0,0,1,1
34.0,77.1,2,7.0,0,1,0
23.0,31.7,2,2.0,0,0,0
48.0,5.0,1,9.0,0,1,0
10.0,63.8,0,12.0,0,0,0
19.0,38.84,1,10.0,0,0,0
21.0,29.41,1,8.0,1,0,0
12.0,34.4,3,10.0,0,1,1
9.0,37.53,1,5.0,0,0,0
35.0,68.35,0,18.0,1,1,0
5.0,47.88,2,6.0,1,0,0
8.0,68.1,1,12.0,1,1,0
18.0,53.9,0,21.0,0,0,0
38.0,39.43,3,8.0,0,1,0
13.0,37.97,1,15.0,0,0,0
11.0,55.11,0,6.0,1,1,0
17.0,59.77,1,15.0,0,1,0
26.0,62.94,0,19.0,0,1,0
15.0,40.29,0,5.0,0,1,0
42.0,48.15,0,14.0,0,1,1
43.0,55.51,0,22.0,0,0,0
18.0,38.09,2,11.0,0,1,0
68.0,24.57,1,17.0,0,0,0
21.0,30.49,2,19.0,1,1,1
42.0,40.66,1,16.0,1,0,0
26.0,56.92,0,5.0,0,0,0
25.0,67.66,2,12.0,0,1,0
4.0,20.59,2,13.0,1,0,0
7.0,34.25,1,2.0,0,0,1
16.0,38.56,0,8.0,0,0,0
42.0,59.3,1,10.0,0,1,0
26.0,35.49,2,12.0,0,0,0
16.0,37.26,2,4.0,0,0,1
31.0,19.58,1,8.0,0,1,1
41.0,53.7,1,10.0,0,1,0
20.0,42.09,0,7.0,0,1,0
24.0,33.23,1,2.0,1,1,0
21.0,40.33,0,18.0,0,1,0
19.0,65.29,0,26.0,0,0,0
10.0,26.91,2,11.0,1,0,1
9.0,29.85,1,11.0,0,1,1
31.0,67.54,1,9.0,0,1,0
42.0,46.36,1,3.0,0,0,0
16.0,57.06,2,3.0,1,0,1
16.0,52.23,2,1.0,1,0,0
3.0,44.36,1,17.0,0,0,0
2.0,38.73,0,25.0,1,0,0
49.0,59.97,0,12.0,0,1,0
11.0,65.92,2,7.0,1,1,0
72.0,64.52,2,8.0,0,0,0
13.0,23.66,2,13.0,0,0,0
4.0,68.49,1,17.0,0,0,0
22.0,38.56,0,9.0,0,0,0
35.0,31.41,3,7.0,0,1,0
32.0,41.95,7,4.0,1,1,1
37.0,59.96,3,6.0,1,0,0
8.0,54.73,1,12.0,0,1,0
49.0,40.4,1,11.0,1,1,0
51.0,60.08,1,10.0,1,0,0
52.0,47.52,0,4.0,1,1,0
24.0,34.69,2,8.0,0,0,0
15.0,32.26,0,15.0,0,0,0
14.0,52.38,2,21.0,1,0,0
4.0,43.51,1,14.0,0,0,0
13.0,20.24,2,17.0,0,1,0
1.0,60.25,2,2.0,0,0,1
4.0,36.36,4,19.0,0,0,0
24.0,73.66,1,12.0,0,0,0
16.0,19.75,1,10.0,0,0,0
23.0,41.75,2,11.0,0,1,0
33.0,32.4,1,23.0,0,1,0
27.0,27.44,0,7.0,0,1,0
25.0,36.24,0,11.0,0,0,0
19.0,76.87,1,8.0,0,1,0
10.0,47.58,1,5.0,0,1,1
6.0,30.75,1,3.0,0,0,1
13.0,12.08,1,5.0,1,0,0
19.0,14.02,0,6.0,0,0,0
21.0,35.34,0,8.0,0,1,1
37.0,33.59,4,17.0,0,0,0
18.0,40.97,1,5.0,0,0,0
30.0,5.0,1,5.0,0,1,0
5.0,43.35,0,23.0,1,1,0
24.0,63.5,1,7.0,0,0,0
23.0,74.21,0,6.0,0,1,1
49.0,10.9,1,6.0,0,0,0
16.0,30.57,1,10.0,0,0,0
16.0,29.62,2,9.0,0,1,1
33.0,47.62,1,6.0,1,1,1
7.0,23.04,1,7.0,0,0,0
24.0,75.28,0,15.0,0,0,0
6.0,45.78,0,10.0,0,0,1
64.0,42.78,4,19.0,0,1,0
14.0,73.67,2,7.0,0,0,1
6.0,44.71,1,15.0,0,1,1
13.0,52.21,3,15.0,0,1,0
24.0,31.49,1,5.0,1,0,0
29.0,20.33,0,11.0,0,1,0
47.0,34.01,3,9.0,1,1,0
12.0,84.37,1,2.0,1,1,0
34.0,56.39,0,3.0,0,0,0
4.0,49.94,1,10.0,0,0,0
8.0,27.43,0,2.0,0,0,0
5.0,61.4,1,2.0,0,1,0
10.0,20.56,1,9.0,0,1,0
33.0,16.79,0,1.0,0,1,1
12.0,34.94,2,4.0,0,0,0
14.0,80.18,0,9.0,0,0,0
24.0,79.16,2,8.0,0,1,0
28.0,36.88,0,8.0,0,1,0
14.0,32.86,0,13.0,1,1,0
8.0,15.47,0,16.0,0,0,0
57.0,46.4,0,17.0,1,1,0
14.0,47.92,0,24.0,1,0,0
16.0,59.21,0,1.0,1,1,1
17.0,61.39,1,5.0,0,1,0
30.0,41.45,2,4.0,1,0,0
5.0,55.01,3,24.0,0,0,0
